title,vendedor,precio,ubicacion_pais,ubicacion_ciudad,horometro,año_fabricacion,link
IMPLEMENTO OPTIMAL  BRAZO EXCAVADOR 0P03.2 T,EQUIPO MARKETPLACE,6500,perú,lima,N/A,2012,https://www.be-market.com/tiendaonline/webapp/detalle/implemento/151909
RODILLO BOMAG  BW226,EQUIPO MARKETPLACE,175000,perú,lima,6402,2013,https://www.be-market.com/tiendaonline/webapp/detalle/rodillo/148033
MINICARGADOR MANITOU  2200R-C,SK RENTAL,33529,perú,lima,3605,2022,https://www.be-market.com/tiendaonline/webapp/detalle/minicargador/148234
TRACTOR CATERPILLAR  D6T,EQUIPO MARKETPLACE,120000,perú,lima,12000,2012,https://www.be-market.com/tiendaonline/webapp/detalle/tractor/54871
MANIPULADOR MANITOU  MT-X1840 A,SK RENTAL,100588,perú,lima,3111,2020,https://www.be-market.com/tiendaonline/webapp/detalle/manipulador/148552
CAMION SERVICIO RENAULT  G8H 6X4,EQUIPO MARKETPLACE,10000,perú,lima,80000,1982,https://www.be-market.com/tiendaonline/webapp/detalle/camion-servicio/136635
CAMION VOLQUETE SINOTRUK  A7 420,EQUIPO MARKETPLACE,56800,perú,lima,4630,2021,https://www.be-market.com/tiendaonline/webapp/detalle/camion-volquete/148047
RODILLO BOBCAT  CTL SSL,EQUIPO MARKETPLACE,8000,perú,lima,N/A,2021,https://www.be-market.com/tiendaonline/webapp/detalle/rodillo/147990
CAMION VOLQUETE SINOTRUK  A7 420,EQUIPO MARKETPLACE,56800,perú,lima,4676,2021,https://www.be-market.com/tiendaonline/webapp/detalle/camion-volquete/148045
CAMION VOLQUETE CATERPILLAR  D300E,EQUIPO MARKETPLACE,38135,perú,puerto maldonado,17000,1998,https://www.be-market.com/tiendaonline/webapp/detalle/camion-volquete/147961
CAMION HORMIGONERO CARMIX  3.5 TT,EQUIPO MARKETPLACE,52000,perú,lima,7000,2013,https://www.be-market.com/tiendaonline/webapp/detalle/camion-hormigonero/148054
EXCAVADORA DOOSAN  DX340 LCA,EQUIPO MARKETPLACE,115000,perú,lima,4563,2019,https://www.be-market.com/tiendaonline/webapp/detalle/excavadora/151848
RODILLO BOMAG  BW 219 DH-5,SK RENTAL,122382,perú,lima,4998,2020,https://www.be-market.com/tiendaonline/webapp/detalle/rodillo/147167
CAMION VOLQUETE SINOTRUK  A7 420,EQUIPO MARKETPLACE,56800,perú,lima,4197,2021,https://www.be-market.com/tiendaonline/webapp/detalle/camion-volquete/148044
CAMION COMPACTADOR 75  31.280 DC MAN E5,SK RENTAL,85891,perú,lima,14101,2022,https://www.be-market.com/tiendaonline/webapp/detalle/camion-compactador/148535
EXCAVADORA JCB  JS370,EQUIPO MARKETPLACE,175000,perú,lima,4363,2017,https://www.be-market.com/tiendaonline/webapp/detalle/excavadora/148031
COMPRESOR SULLIVAN  D900,EQUIPO MARKETPLACE,25000,perú,lima,2200,2012,https://www.be-market.com/tiendaonline/webapp/detalle/compresor/76257
CAMION VOLQUETE MERCEDES BENZ  ACTROS 3344K,EQUIPO MARKETPLACE,80000,perú,lima,9830,2013,https://www.be-market.com/tiendaonline/webapp/detalle/camion-volquete/148051
MARTILLO HSUNTAY  ST350C,EQUIPO MARKETPLACE,9800,perú,lima,N/A,2022,https://www.be-market.com/tiendaonline/webapp/detalle/martillo/115785
RODILLO BOMAG  BW211D-40,SK RENTAL,63259,perú,lima,2773,2019,https://www.be-market.com/tiendaonline/webapp/detalle/rodillo/65369
MOTONIVELADORA CATERPILLAR  140K,EQUIPO MARKETPLACE,102000,perú,piura,5732,2010,https://www.be-market.com/tiendaonline/webapp/detalle/motoniveladora/148486
MANIPULADOR MANITOU  MT-X1033 ST,SK RENTAL,62884,perú,lima,6089,2021,https://www.be-market.com/tiendaonline/webapp/detalle/manipulador/147828
MAQUINARIA CIVIL NORMET  ALPHA 20,EQUIPO MARKETPLACE,100000,perú,lima,658,2015,https://www.be-market.com/tiendaonline/webapp/detalle/maquinaria-civil/31590
MARTILLO CHICAGO PNEUMATIC  RX29,EQUIPO MARKETPLACE,11000,perú,lima,N/A,2011,https://www.be-market.com/tiendaonline/webapp/detalle/martillo/151912
CARGADOR JCB  455zx,EQUIPO MARKETPLACE,90000,perú,lima,4116,2017,https://www.be-market.com/tiendaonline/webapp/detalle/cargador/148024
