PaginaWeb,Nombre de la máquina,Vendedor,Precio,País de venta,Horómetro,Ciudad de venta,Marca,Año de fabricación,Enlace,Fecha de reporte
Maquinet,Cargador Frontal Caterpillar 950GC,Ferreyros S.A.,127800,Perú,5520,Lima,CATERPILLAR,2020,https://maquinet.com/cargador-frontal-950gc-2.html,12/10/2024
Maquinet,Motoniveladora SEM SEM919,Unimaq S.A.,134500,Perú,899,Lima,SEM,2019,https://maquinet.com/motoniveladora-sem-sem919-ano-2019.html,12/10/2024
Maquinet,Volquete Shacman SX3258DW354C,Unimaq S.A.,69000,Perú,867,Cusco,SHACMAN,2022,https://maquinet.com/volquete-shacman-sx3258dw354c-ano-2022.html,12/10/2024
Maquinet,Plataforma en altura Genie S125,Unimaq S.A.,37000,Perú,3021,Ilo,GENIE,2014,https://maquinet.com/plataforma-en-altura-genie-s125-ano-2014.html,12/10/2024
Maquinet,Grúa Móvil TEREX QUADSTAR1100,Trex Chile,400000,Chile,7339,"Antofagasta, Chile",TEREX,2017,https://maquinet.com/grua-movil-terex-quadstar1100-ano-2017.html,12/10/2024
Maquinet,Grúa Móvil TEREX RT130,Trex Chile,450000,Chile,3476,"Antofagasta, Chile",TEREX,2017,https://maquinet.com/grua-movil-terex-rt130-ano-2017.html,12/10/2024
Maquinet,Cargador Frontal Caterpillar 950GC,Ferreyros S.A.,177800,Perú,1700,Cusco,CATERPILLAR,2020,https://maquinet.com/cargador-frontal-caterpillar-950gc-ano-2020-1-html.html,12/10/2024
Maquinet,Excavadora Caterpillar 330D2L,Ferreyros S.A.,183400,Perú,5927,Trujillo,CATERPILLAR,2017,https://maquinet.com/excavadora-330d2l-ano-2017.html,12/10/2024
Maquinet,Excavadora Caterpillar 336DL,Ferreyros S.A.,75600,Perú,12650,Lambayeque,CATERPILLAR,2012,https://maquinet.com/excavadora-caterpillar-336dl-ano-2012.html,12/10/2024
Maquinet,Cargador Frontal 950GC,Ferreyros S.A.,116700,Perú,6980,Piura,CATERPILLAR,2019,https://maquinet.com/cargador-frontal-950gc-ano-2019.html,12/10/2024
Maquinet,Motoniveladora Caterpillar 12M,Ferreyros S.A.,200000,Perú,6400,Ica,CATERPILLAR,2018,https://maquinet.com/motoniveladora-caterpillar-12m-ano-2018.html,12/10/2024
Maquinet,Volquete Shacman SX3318DW306C,Unimaq S.A.,69000,Perú,1735,Lima,SHACMAN,2022,https://maquinet.com/volquete-shacman-sx3318dw306c-2-ano-2022-html.html,12/10/2024
Maquinet,Motoniveladora Caterpillar 140K,Ferreyros S.A.,200000,Perú,4381,Arequipa,CATERPILLAR,2018,https://maquinet.com/motoniveladora-caterpillar-140k-ano-2019.html,12/10/2024
